"Symbol" "GSM429241" "GSM429243" "GSM429245" "GSM429247" "GSM429249" "GSM429251" "GSM429253" "GSM429255" "GSM429257" "GSM429259" "GSM429261" "GSM429263" "GSM429265" "GSM429267" "GSM429269" "GSM429271" "GSM429273" "GSM429275" "GSM429277" "GSM429279" "GSM429242" "GSM429244" "GSM429246" "GSM429248" "GSM429250" "GSM429252" "GSM429254" "GSM429256" "GSM429258" "GSM429260" "GSM429262" "GSM429264" "GSM429266" "GSM429268" "GSM429270" "GSM429272" "GSM429274" "GSM429276" "GSM429278" "GSM429280"
"RPS15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58414998334488 3.02973379505792 2.6364784108281 0 0 0 0 0 0 0 0 0 0 0 0 0 2.2231254919132 0 0 3.00599751070871 2.2365657378865
"RPL13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.70935526315621 2.9596839781855 2.61273723244971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.03804072470508 2.98463258184241
"HLA-E" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0493254246869 0 0 2.00345969099896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPL37A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.48564579668577 0 2.06847169472137 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"S100A9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TXNIP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.54279987822635 0 3.40446150338768 0 2.22967110167337 0 2.03575701693575 0 0 4.50429309850461 0 0 0 0 0 0 0 0 0
"ACTG1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17600560156687 0 2.52189373150942 0 0 0 0 0 0 2.68857362233917 0 0 0 0 0 0 0 0 0
"CFL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.36068413385529 0 0 0 0 2.09946149821489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TMSB4X" 0 0 0 0 0 0 0 2.31468382355491 0 0 0 0 0 0 0 0 2.46484742902564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TMSB4XP8" 0 0 0 0 0 0 0 2.31468382355491 0 0 0 0 0 0 0 0 2.46484742902564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TMSB4XP6" 0 0 0 0 0 0 0 2.31468382355491 0 0 0 0 0 0 0 0 2.46484742902564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPS11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.49274393354323 2.0696645467502 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPL7A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.95641180139035 2.68865811208312 3.3040505029749 2.47782686883885 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.48922995322622
"SNORD36B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.95641180139035 2.68865811208312 3.3040505029749 2.47782686883885 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.48922995322622
"RPL7AP6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.95641180139035 2.68865811208312 3.3040505029749 2.47782686883885 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.48922995322622
"SNORD36A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.95641180139035 2.68865811208312 3.3040505029749 2.47782686883885 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.48922995322622
"LAPTM5" 0 0 0 0 0 0 0 0 0 0 2.18685125493879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.23308810159217 0 3.78553541350308 0 2.30997961699429 0 0 0 0 0
"ITM2B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.30519762735298 0
"FTH1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.29585044405048 0 2.34337273364551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FTH1P2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.29585044405048 0 2.34337273364551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FTH1P16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.29585044405048 0 2.34337273364551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FTH1P11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.29585044405048 0 2.34337273364551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FTH1P20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.29585044405048 0 2.34337273364551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EIF1" 2.01183829071773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.09693961142329 2.14422351557403 0 0 0 5.09322470323191 0 0 0 0 2.6211288729675 0 0 0 0 0 0 0 0 0 0 0 0 0
"SNORD68" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.37653349348878 2.37116852245759 3.01426588265502 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.48166909425714
"EEF2" 0 2.3374844056191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.86969859334089 4.34508479617103 2.34145156851041 0 0 3.40134998893808 0 0 0 0 0 0 0 0 0 2.66727448678448 0 0 0 0
"RPS4X" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.12390519539329 2.91399410874016 2.5528633554244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.30317801402365
"RPL18A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.38152250044702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0010134822307
"RPL18AP3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.38152250044702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0010134822307
"B2M" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.78811294013233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PABPC1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.40352762991193 3.53803655277494 2.446859452202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.27985994634004
"RPS16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.06159250306821 2.25781927702301 3.20225058199563 2.37240114522809 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.90222795151014
"RPLP2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.33077759742673 2.37541491805671 2.34302846751727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.05788878055569 0 2.87493710087181
"RPS28P7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8128449219962 0 2.4381220437426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPS28" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8128449219962 0 2.4381220437426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPL10P9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.51639605653515 3.32603554970415 3.14541247700113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.09700539056312 0 2.01840457520017
"SNORA70" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.51639605653515 3.32603554970415 3.14541247700113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.09700539056312 0 2.01840457520017
"RPL10P16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.51639605653515 3.32603554970415 3.14541247700113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.09700539056312 0 2.01840457520017
"RPL10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.51639605653515 3.32603554970415 3.14541247700113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.09700539056312 0 2.01840457520017
"HLA-G" 0 0 0 0 0 0 0 0 0 0 0 2.11393985669989 0 0 0 0 0 0 0 2.58848177367387 0 0 0 0 0 0 0 0 2.58178405252552 0 2.12585531563024 0 0 0 0 0 0 0 0 0
"GNAS" 0 0 0 0 0 0 0 2.22612771186673 0 0 0 0 0 0 0 0 0 0 0 0 2.0820876403115 0 0 0 0 2.82868948035822 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EEF1A1P11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.33542620737161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.7089430827697 0 0
"EEF1A1P19" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.14942532987987 0 2.07555337147047 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SNORD33" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.81311959420088 2.36734488079315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SNORD34" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.81311959420088 2.36734488079315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPL13AP5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.81311959420088 2.36734488079315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPL13AP20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.81311959420088 2.36734488079315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPL13A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.81311959420088 2.36734488079315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"VIM" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.62433985787976 0 2.05158864975823 0 0 0 0 0 0 0 0 0 0 2.95715534661649 0 2.09368858059968 2.42005572560569 0 0 0 0 0 0
"SNORA7A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.49344713001436 0 2.29028843073563 2.24555887294051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPL32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.49344713001436 0 2.29028843073563 2.24555887294051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPL19" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.24196653466609 2.6655896376366 3.02748062277984 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.07323906176153
"FPR1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22518124699998 0 0 0 0 0 0 0 0 2.0213069834778 0 0 0 0 0 0 0 0 0 2.1863551989424
"RPS12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.33000965387435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPS19" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.02135106457581 2.78045590489525 3.13319643363674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.4432589468307 2.60331927732367
"FCGR3B" 0 0 0 2.19855828932324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RAC2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.52467982438804 0 0 0 0 0 0 2.55535655819556 0 0 0 0 0 3.31707997629797 0 0 0 0 0 0 0 0 0
"IFITM3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.67693464404278 2.02055243323239 2.4276546557791 0 0 0 0 0 0 0 0 2.41204280714532 0 0 0 2.97144953995265 0 0 0 0
"RPL27A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.10607096434984 0 2.5101204505394 2.28476593611563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.05787669681829
"SNORA3A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.10607096434984 0 2.5101204505394 2.28476593611563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.05787669681829
"CD74" 0 2.63532990766121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17545973920387 0 0 0 0 0 0 0 0 0 0 0 0 2.81997049166012 0 0 0 0 0 0 0 0 0
"TPT1" 0 0 0 0 0 0 0 0 0 0 0 2.01528752273481 0 0 0 0 0 0 0 0 2.48793942227503 0 0 0 2.65289590900732 0 2.56526961665642 0 2.13864309651856 0 2.59880201572556 0 2.28997888902446 0 0 0 0 2.15374093565962 0 0
"RPL13AP25" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.77170942403678 2.22577227141758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"H3F3B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9770360134651 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FTH1P5" 0 0 2.02109249977284 0 0 0 0 0 2.53843461962449 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TMSB10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.65344189279952 0 0 2.26370186049272 0 0 0 0 0 2.00337511687924 0 0 2.13401014582456 0 0 0 0 2.18437303580047 0 0 0
"IFITM1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.10426161015822 4.50357318282095 3.9607813979001 0 0 3.60480790403309 0 2.1092039658703 0 2.60638730663838 2.12664434861546 3.92341136748006 2.37745056286187 4.21379052994524 0 3.91667846864324 0 0 0 2.33118936954543
"TALDO1" 0 0 0 0 0 0 0 0 0 0 2.26961313187988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PSAP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.08240330929084 0 0 0 0 0 0 0 0 0 0 2.78626150155958 2.00130331803045 3.77870196416776 0 2.84562110073059 0 0 0 0 0 0 0
"ARHGDIB" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.17529111880241 0 0 0 0 0 0 0 0 0 0 0 0 0 2.2653666778104 0 0 0 0 0 0 0 0 0
"SELL" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.40511645913217 2.62446368328776 2.22874274031366 0 0 0 0 0 0 0 2.69711717151415 0 0 0 0 2.21150770240351 0 0 0 0
"SNORA31" 0 0 0 0 0 0 0 0 0 0 0 2.3967305069262 0 0 0 0 0 0 0 0 2.47687088696354 0 0 0 2.60011760782865 0 2.42475766537616 0 2.07621720188126 0 2.0583127480946 0 2.26120354700282 0 0 0 0 0 0 0
"S100A4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.59954291811162 0 0 0 0 0 0 0 0 0 2.76744246395857 0 0 0 0 0 0 0 2.43135298862066 0 0 0 0 0
"HLA-F" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.34917719180392 0 0 0 2.17536787328615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAPDH" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.03143476323541 0 0 0 0 0 0 0
"HBG2" 0 0 0 0 0 0 0 0 0 2.05311343276736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HBG1" 0 0 0 0 0 0 0 0 0 2.05311343276736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"S100A11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PFN1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.84068255170506 0 0 0 2.94383229166944 0 0 2.16994621735247 0 2.2044217866781 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPL18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.04176927776346 2.22367229647702 3.43094630104575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.43269819585138 2.68103751043159
"HLA-DRB1" 0 2.68456551541151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.74704967491562 0 0 0 0 0 0 0 0 0
"RPL3P4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.85887137526084 3.70895493698999 2.87781738033166 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.03792931854606 0 2.00587156668326
"RPL3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.85887137526084 3.70895493698999 2.87781738033166 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.03792931854606 0 2.00587156668326
"RPL3P7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.85887137526084 3.70895493698999 2.87781738033166 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.03792931854606 0 2.00587156668326
"SERPINA1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.16920624655157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.24970584438892 0 0
"RACK1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.21378963877429 4.5382670351383 3.26406764744447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.59719564045119 0 4.25960287339768
"RPS3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.28816381792685 2.44634965385742 2.73518901607346 2.15453565127609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.02540067092457
"EEF1G" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.64298365551246 4.02447368257155 3.47254422202951 0 0 0 2.0508261174056 0 0 0 0 0 0 0 0 0 0 0 2.00495012357891 3.11314346322641
"MIR3654" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.64298365551246 4.02447368257155 3.47254422202951 0 0 0 2.0508261174056 0 0 0 0 0 0 0 0 0 0 0 2.00495012357891 3.11314346322641
"CCNI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.02645210520914 0 0 0 0 0 0 0 0 0 0 0 0 0 0
